Jumlah Komplain,tanggal,Respon Komplain,jumlah CS
50,2014-01-01,48,10
45,2014-01-02,41,9
57,2014-01-03,57,12
50,2014-01-04,50,11
55,2014-01-05,53,8
57,2014-01-06,55,11
58,2014-01-07,54,13
54,2014-01-08,52,10
53,2014-01-09,53,11
50,2014-01-10,50,10
51,2014-01-11,49,10
49,2014-01-12,49,9
50,2014-01-13,47,10
46,2014-01-14,45,7
51,2014-01-15,45,10
53,2014-01-16,53,12
55,2014-01-17,49,10
57,2014-01-18,56,11
58,2014-01-19,54,13
60,2014-01-20,55,14
48,2014-01-21,45,9
50,2014-01-22,46,8
55,2014-01-23,53,12
57,2014-01-24,54,12
49,2014-01-25,46,9
50,2014-01-26,50,10
55,2014-01-27,53,13
56,2014-01-28,56,15
47,2014-01-29,43,7
50,2014-01-30,50,10
32,2014-02-01,30,10
34,2014-02-02,23,9
56,2014-02-03,43,12
22,2014-02-04,22,11
34,2014-02-05,34,8
56,2014-02-06,24,11
32,2014-02-07,31,13
43,2014-02-08,40,10
87,2014-02-09,59,11
54,2014-02-10,54,10
32,2014-02-11,31,10
34,2014-02-12,23,9
56,2014-02-13,50,10
32,2014-02-14,31,7
11,2014-02-15,11,10
23,2014-02-16,23,12
43,2014-02-17,40,10
2,2014-02-18,2,11
54,2014-02-19,54,13
6,2014-02-20,6,14
34,2014-02-21,32,9
53,2014-02-22,51,8
87,2014-02-23,78,12
54,2014-02-24,51,12
30,2014-02-25,23,9
45,2014-02-26,40,10
78,2014-02-27,70,13
10,2014-02-28,9,15
23,2014-03-01,23,7
45,2014-03-02,40,10
63,2014-03-03,62,10
32,2014-03-04,30,9
2,2014-03-05,2,12
4,2014-03-06,4,11
67,2014-03-07,60,8
32,2014-03-08,31,11
21,2014-03-09,20,13
12,2014-03-10,12,10
45,2014-03-11,45,11
67,2014-03-12,65,10
87,2014-03-13,34,10
9,2014-03-14,9,9
10,2014-03-15,10,10
34,2014-03-16,24,7
55,2014-03-17,50,10
101,2014-03-18,78,12
34,2014-03-19,30,10
23,2014-03-20,23,11
56,2014-03-21,56,13
33,2014-03-22,33,14
21,2014-03-23,21,9
23,2014-03-24,21,8
66,2014-03-25,56,12
74,2014-03-26,45,12
3,2014-03-27,3,9
43,2014-03-28,43,10
1,2014-03-29,1,13
1,2014-03-30,1,15
32,2014-04-01,32,7
1,2014-04-02,1,10
23,2014-04-03,20,10
44,2014-04-04,34,9
56,2014-04-05,54,12
32,2014-04-06,23,11
53,2014-04-07,53,8
32,2014-04-08,31,11
65,2014-04-09,59,13
75,2014-04-10,67,10
85,2014-04-11,80,11
32,2014-04-12,31,10
9,2014-04-13,9,10
1,2014-04-14,1,9
1,2014-04-15,1,10
23,2014-04-16,21,7
53,2014-04-17,29,10
6,2014-04-18,6,12
12,2014-04-19,12,10
64,2014-04-20,64,11
33,2014-04-21,31,13
23,2014-04-22,20,14
108,2014-04-23,99,9
43,2014-04-24,41,8
34,2014-04-25,30,12
56,2014-04-26,51,12
77,2014-04-27,70,9
89,2014-04-28,86,10
75,2014-04-29,70,13
67,2014-04-30,54,15
21,2014-05-01,20,7
45,2014-05-02,32,10
35,2014-05-03,29,10
65,2014-05-04,54,9
78,2014-05-05,70,12
32,2014-05-06,30,11
21,2014-05-07,21,8
34,2014-05-08,31,11
56,2014-05-09,50,13
36,2014-05-10,34,10
43,2014-05-11,42,11
23,2014-05-12,20,10
34,2014-05-13,30,10
56,2014-05-14,49,9
42,2014-05-15,41,10
23,2014-05-16,23,7
45,2014-05-17,45,10
66,2014-05-18,55,12
74,2014-05-19,70,10
75,2014-05-20,73,11
43,2014-05-21,41,13
1,2014-05-22,1,14
75,2014-05-23,54,9
3,2014-05-24,3,8
24,2014-05-25,24,12
78,2014-05-26,70,12
45,2014-05-27,43,9
32,2014-05-28,30,10
55,2014-05-29,43,13
53,2014-05-30,52,15
22,2014-06-01,20,7
34,2014-06-02,33,10
56,2014-06-03,50,10
42,2014-06-04,41,9
44,2014-06-05,41,12
32,2014-06-06,31,11
32,2014-06-07,32,8
34,2014-06-08,25,11
53,2014-06-09,50,13
98,2014-06-10,79,10
1,2014-06-11,1,11
2,2014-06-12,2,10
43,2014-06-13,40,10
56,2014-06-14,54,9
21,2014-06-15,20,10
32,2014-06-16,32,7
12,2014-06-17,10,10
44,2014-06-18,42,12
56,2014-06-19,54,10
32,2014-06-20,31,11
32,2014-06-21,31,13
45,2014-06-22,42,14
1,2014-06-23,1,9
34,2014-06-24,30,8
5,2014-06-25,5,12
7,2014-06-26,7,12
32,2014-06-27,32,9
17,2014-06-28,17,10
89,2014-06-29,80,13
67,2014-06-30,65,15
89,2014-07-01,84,7
54,2014-07-02,52,10
56,2014-07-03,52,10
43,2014-07-04,41,9
67,2014-07-05,53,12
89,2014-07-06,77,11
65,2014-07-07,63,8
43,2014-07-08,44,11
32,2014-07-09,31,13
57,2014-07-10,50,10
88,2014-07-11,81,11
43,2014-07-12,42,10
32,2014-07-13,31,10
45,2014-07-14,42,9
65,2014-07-15,60,10
75,2014-07-16,72,7
32,2014-07-17,31,10
45,2014-07-18,41,12
6,2014-07-19,6,10
44,2014-07-20,41,11
54,2014-07-21,51,13
32,2014-07-22,31,14
33,2014-07-23,31,9
11,2014-07-24,11,8
110,2014-07-25,75,12
44,2014-07-26,40,12
1,2014-07-27,1,9
1,2014-07-28,1,10
1,2014-07-29,1,13
23,2014-07-30,20,15
45,2014-08-01,41,7
56,2014-08-02,51,10
89,2014-08-03,80,10
54,2014-08-04,51,9
45,2014-08-05,39,12
32,2014-08-06,27,11
21,2014-08-07,20,8
23,2014-08-08,21,11
45,2014-08-09,43,13
12,2014-08-10,10,10
33,2014-08-11,32,11
45,2014-08-12,40,10
12,2014-08-13,11,10
21,2014-08-14,20,9
21,2014-08-15,19,10
22,2014-08-16,22,7
34,2014-08-17,34,10
21,2014-08-18,21,12
1,2014-08-19,1,10
78,2014-08-20,78,11
1,2014-08-21,1,13
43,2014-08-22,41,14
2,2014-08-23,2,9
55,2014-08-24,50,8
67,2014-08-25,60,12
42,2014-08-26,41,12
34,2014-08-27,30,9
56,2014-08-28,48,10
43,2014-08-29,41,13
67,2014-08-30,45,15
90,2014-09-01,68,7
